ID,性别,年龄,职业,征信是否逾期,工资,婚否,购房所属套数,首付款比例,收入支出比例,拟购房面积,贷款期限,是否贷款
1,1,2,1,0,4,1,0,4,0,1,0,1
2,1,2,1,0,4,1,0,1,1,0,0,1
3,1,2,1,0,4,1,0,1,0,3,0,1
4,0,0,0,0,1,0,0,3,1,1,3,0
5,0,2,1,0,3,1,0,4,0,3,0,1
6,1,1,1,0,3,1,0,4,0,3,0,1
7,1,3,1,0,4,1,0,3,2,2,0,1
8,0,0,0,0,2,1,0,1,2,2,4,0
9,0,0,1,0,1,2,0,2,2,3,3,0
10,1,1,1,0,2,1,0,4,0,1,4,1
11,0,1,1,0,1,1,0,2,1,1,3,1
12,0,1,1,0,1,1,0,3,2,0,3,1
13,1,3,1,0,4,1,0,0,2,3,0,1
14,1,0,1,0,1,2,0,1,1,0,4,0
15,0,0,1,0,1,1,0,1,0,3,4,0
16,1,3,1,0,4,1,0,0,2,3,0,1
17,1,0,0,0,1,2,0,0,2,2,4,0
18,1,1,1,0,4,2,0,0,3,0,0,1
19,1,2,1,0,4,1,0,0,3,1,0,1
20,1,2,1,0,4,1,0,4,0,3,2,1
21,0,2,1,0,3,1,0,4,0,3,3,1
22,1,1,1,0,3,1,0,3,2,2,3,1
23,0,1,1,0,2,2,0,1,2,1,3,1
24,0,2,0,1,3,1,0,1,0,1,0,0
25,0,2,1,1,3,1,0,0,2,3,0,0
26,1,1,1,0,2,1,0,0,2,3,4,1
27,1,2,1,0,3,1,0,0,2,3,0,1
28,1,0,0,0,1,1,0,1,0,1,0,0
29,0,1,1,0,2,2,0,1,3,1,4,0
30,0,1,1,0,0,1,0,0,3,0,1,0
31,0,0,1,0,0,2,0,0,3,1,4,0
32,1,0,1,1,2,1,0,4,3,0,4,0
33,1,0,1,0,2,1,0,2,2,2,4,1
34,0,1,1,0,1,1,0,1,0,1,4,1
35,1,2,1,0,4,1,0,2,1,0,0,1
36,1,0,1,0,0,1,0,4,1,0,0,1
37,1,1,1,0,3,2,0,2,3,2,0,0
